nombre;abusividad del clausulado;acreditación deuda;legitimación activa;legitimaciión pasiva;prescripción;transparencia;usura;validez de la firma;demandante;demandado;favorable
SAP_AB_155_2025;1;0;0;1;0;1;1;0;1;0;0
SAP_AL_582_2025;0;1;0;0;0;0;0;0;1;0;1
SAP_AV_316_2024;0;1;1;0;0;0;0;0;1;0;0
SAP_A_226_2025;0;1;0;0;0;0;0;1;1;0;0
SAP_A_2675_2024;1;0;0;1;0;1;1;0;0;1;0
SAP_A_272_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_A_329_2025;1;0;0;0;0;1;0;0;1;0;1
SAP_A_350_2025;1;1;1;0;0;0;0;0;1;0;1
SAP_A_409_2025;0;0;1;1;0;0;0;0;1;0;1
SAP_A_50_2025;1;1;0;0;1;0;0;0;1;0;1
SAP_A_837_2025;0;1;0;0;0;0;0;1;1;0;1
SAP_BA_121_2025;1;0;0;1;0;1;1;0;1;0;0
SAP_BA_555_2025;0;1;1;0;0;0;0;1;1;0;1
SAP_BA_605_2025;1;0;0;0;0;0;0;0;1;0;1
SAP_BA_732_2025;0;1;0;0;0;0;1;0;0;1;1
SAP_BA_890_2025;1;0;0;0;0;0;1;0;1;0;0
SAP_BI_1210_2025;1;0;0;0;0;1;1;0;1;0;0
SAP_BI_1837_2025;1;1;1;0;1;0;0;0;0;1;0
SAP_BU_251_2025;0;1;0;0;0;0;0;1;1;0;1
SAP_B_1588_2025;1;1;0;0;0;1;1;0;1;0;0
SAP_B_16062_2024;0;1;1;0;0;1;1;0;1;0;1
SAP_B_2548_2025;1;1;1;0;1;0;0;0;1;0;1
SAP_B_2869_2025;1;1;0;0;0;1;1;0;1;0;1
SAP_B_314_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_B_3631_2025;1;0;0;1;0;1;0;0;1;0;0
SAP_B_3678_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_B_3801_2025;0;1;0;0;0;0;0;1;1;0;1
SAP_B_4355_2025;1;0;0;0;0;1;1;0;1;0;0
SAP_B_4704_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_B_4779_2025;0;0;0;1;0;1;1;0;1;0;1
SAP_B_5089_2025;1;1;0;0;0;0;1;0;1;0;0
SAP_B_5502_2025;1;1;0;0;0;1;1;0;1;0;1
SAP_B_6189_2025;0;1;0;0;0;0;0;0;0;1;1
SAP_B_6292_2025;1;1;0;0;0;0;0;0;1;0;0
SAP_B_6773_2025;0;0;0;0;0;0;1;0;1;0;1
SAP_B_6988_2025;1;1;1;0;0;0;1;0;1;0;0
SAP_B_7076_2025;0;1;0;0;0;0;1;0;1;0;1
SAP_B_7191_2025;1;0;0;0;0;1;1;0;0;1;0
SAP_CA_1282_2025;1;1;0;0;0;0;0;0;1;0;1
SAP_CA_1395_2025;1;0;0;0;0;1;0;0;1;0;1
SAP_CA_801_2025;0;0;0;0;0;0;1;0;1;0;0
